2023 LG,,,
Hourly Stream Data (Summary),,,
,,,
Dataset Reference Format:,,,
,"[Year of data collection] Stream data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,
,,,
Dataset Header Description,,,
,Column(s)| Variable| Description| [units],,
,1st Column  | DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,
,2nd Column|Discharge -L/s|Stream Discharge instantaneous measurements [L/s],,
,3rd Column |StreamTemp-C| Stream Temperature [C],,
,4th Column |StreamEC-mS/cm| Stream Electrical Conductivity [mS/cm],,
,,,
,,,
,**Note: -6999 denotes missing data,,
,,,
,,,
DateTime,Discharge-L/s,StreamTemp-C,StreamEC-mS/cm
1/1/2023 0:00,89.65946304,2.31,0.27
1/1/2023 1:00,89.33313272,2.154,0.272
1/1/2023 2:00,88.35915914,2.021,0.274
1/1/2023 3:00,88.03616958,1.888,0.278
1/1/2023 4:00,87.39268546,1.742,0.281
1/1/2023 5:00,86.11566238,1.607,0.284
1/1/2023 6:00,84.85183329,1.478,0.287
1/1/2023 7:00,84.2248417,1.351,0.289
1/1/2023 8:00,84.2248417,1.237,0.291
1/1/2023 9:00,82.98065488,1.115,0.295
1/1/2023 10:00,83.29048013,0.986,0.298
1/1/2023 11:00,82.36343986,0.889,0.298
1/1/2023 12:00,81.74946394,0.908,0.295
1/1/2023 13:00,81.74946394,1.011,0.292
1/1/2023 14:00,80.83455174,1.176,0.289
1/1/2023 15:00,78.72782533,1.314,0.286
1/1/2023 16:00,78.72782533,1.463,0.284
1/1/2023 17:00,80.83455174,1.559,0.284
1/1/2023 18:00,80.53118986,1.545,0.286
1/1/2023 19:00,80.22863035,1.479,0.288
1/1/2023 20:00,79.92687198,1.35,0.293
1/1/2023 21:00,79.92687198,1.146,0.299
1/1/2023 22:00,79.92687198,0.92,0.302
1/1/2023 23:00,79.02639143,0.702,0.307
1/2/2023 0:00,77.54149858,0.529,0.311
1/2/2023 1:00,76.36781318,0.386,0.315
1/2/2023 2:00,70.1350101,0.227,0.32
1/2/2023 3:00,54.04394403,0.121,0.321
1/2/2023 4:00,46.85803734,0.097,0.318
1/2/2023 5:00,44.42087774,0.098,0.312
1/2/2023 6:00,47.06528796,0.104,0.308
1/2/2023 7:00,50.90713104,0.1,0.292
1/2/2023 8:00,57.31440673,0.093,0.285
1/2/2023 9:00,63.497128,0.087,0.283
1/2/2023 10:00,69.86052005,0.087,0.282
1/2/2023 11:00,74.63081611,0.089,0.283
1/2/2023 12:00,81.13871722,0.089,0.284
1/2/2023 13:00,85.79847127,0.089,0.286
1/2/2023 14:00,96.36377431,0.089,0.288
1/2/2023 15:00,112.726507,0.087,0.29
1/2/2023 16:00,110.4396571,0.087,0.292
1/2/2023 17:00,111.1982759,0.086,0.296
1/2/2023 18:00,108.9333619,0.084,0.295
1/2/2023 19:00,110.4396571,0.081,0.295
1/2/2023 20:00,115.4363953,0.081,0.292
1/2/2023 21:00,113.8823398,0.081,0.292
1/2/2023 22:00,112.3430718,0.082,0.292
1/2/2023 23:00,111.5789576,0.082,0.292
1/3/2023 0:00,109.3085711,0.082,0.292
1/3/2023 1:00,112.3430718,0.084,0.293
1/3/2023 2:00,116.6116905,0.085,0.294
1/3/2023 3:00,121.3972059,0.084,0.295
1/3/2023 12:00,107.8131749,0.096,0.336
1/3/2023 13:00,103.4134257,0.098,0.334
1/3/2023 14:00,96.36377431,0.101,0.332
1/3/2023 15:00,92.30038929,0.108,0.33
1/3/2023 16:00,90.64348879,0.109,0.328
1/3/2023 17:00,91.96731761,0.111,0.326
1/3/2023 18:00,92.30038929,0.11,0.325
1/3/2023 19:00,90.97317981,0.108,0.324
1/3/2023 20:00,87.7140121,0.108,0.324
1/3/2023 21:00,85.48210355,0.106,0.323
1/3/2023 22:00,82.67164187,0.106,0.323
1/3/2023 23:00,80.83455174,0.102,0.324
1/4/2023 0:00,78.72782533,0.105,0.324
1/4/2023 1:00,76.95308062,0.108,0.324
1/4/2023 2:00,75.20669072,0.114,0.324
1/4/2023 3:00,74.0580529,0.117,0.324
1/4/2023 4:00,71.51886024,0.129,0.323
1/4/2023 5:00,70.68626653,0.152,0.323
1/4/2023 13:00,68.22943785,0.744,0.305
1/4/2023 14:00,68.49940307,0.881,0.302
1/4/2023 15:00,68.49940307,1.014,0.299
1/4/2023 16:00,68.49940307,1.146,0.295
1/4/2023 17:00,69.04158806,1.282,0.293
1/4/2023 18:00,68.49940307,1.37,0.292
1/4/2023 19:00,68.22943785,1.433,0.291
1/4/2023 20:00,68.22943785,1.489,0.291
1/4/2023 21:00,68.22943785,1.53,0.29
1/4/2023 22:00,67.96022253,1.56,0.29
1/4/2023 23:00,67.96022253,1.579,0.29
1/5/2023 0:00,68.22943785,1.589,0.291
1/5/2023 1:00,67.42403676,1.578,0.292
1/5/2023 2:00,67.6917559,1.527,0.292
1/5/2023 3:00,67.42403676,1.541,0.292
1/5/2023 4:00,67.1570639,1.56,0.291
1/5/2023 5:00,67.1570639,1.607,0.29
1/5/2023 6:00,66.62535217,1.65,0.289
1/5/2023 7:00,66.09661108,1.694,0.288
1/5/2023 8:00,66.8908361,1.732,0.288
1/5/2023 9:00,66.8908361,1.783,0.286
1/5/2023 10:00,67.1570639,1.876,0.284
1/5/2023 11:00,67.42403676,1.943,0.283
1/5/2023 12:00,67.6917559,2.073,0.278
1/5/2023 13:00,67.96022253,2.314,0.273
1/5/2023 14:00,68.49940307,2.53,0.271
1/5/2023 15:00,69.04158806,2.673,0.269
1/5/2023 16:00,69.58678717,2.805,0.267
1/5/2023 17:00,70.41025852,2.873,0.267
1/5/2023 18:00,70.41025852,2.891,0.267
1/5/2023 19:00,71.51886024,2.878,0.267
1/5/2023 20:00,71.79791875,2.864,0.267
1/5/2023 21:00,72.07774293,2.831,0.269
1/7/2023 12:00,69.31381025,1.767,0.286
1/7/2023 13:00,69.04158806,1.9,0.283
1/7/2023 14:00,69.04158806,2.109,0.281
1/7/2023 15:00,69.04158806,2.279,0.277
1/7/2023 16:00,68.77011941,2.477,0.273
1/7/2023 17:00,69.31381025,2.705,0.27
1/7/2023 18:00,68.77011941,2.886,0.269
1/7/2023 19:00,69.31381025,2.969,0.269
1/7/2023 20:00,68.77011941,2.975,0.269
1/7/2023 21:00,69.04158806,2.971,0.27
1/7/2023 22:00,68.77011941,2.925,0.272
1/7/2023 23:00,69.04158806,2.828,0.274
1/8/2023 0:00,69.04158806,2.726,0.276
1/8/2023 1:00,68.77011941,2.65,0.277
1/8/2023 2:00,69.04158806,2.593,0.278
1/8/2023 3:00,68.49940307,2.512,0.28
1/8/2023 4:00,68.77011941,2.44,0.281
