"","q","ID","Date","uaa","SiteType"
"1",38.6598612747023,"HighMain",2023-02-24 00:00:00,26.04,"Dilution Gauging"
"2",37.5268888085729,"MidMain",2023-02-24 00:00:00,26.26,"Dilution Gauging"
"3",36.1771441945218,"MidMain",2023-02-24 00:00:00,26.26,"Dilution Gauging"
"4",28.5484849649499,"LowMain",2023-02-24 00:00:00,26.75,"Dilution Gauging"
"5",31.76803461462,"HighMain",2023-03-03 00:00:00,26.04,"Dilution Gauging"
"6",36.6244931834299,"HighMain",2023-03-03 00:00:00,26.04,"Dilution Gauging"
"7",32.8209716401958,"MidMain",2023-03-03 00:00:00,26.26,"Dilution Gauging"
"8",33.639504937654,"MidMain",2023-03-03 00:00:00,26.26,"Dilution Gauging"
"9",38.1841022183388,"LowMain",2023-03-03 00:00:00,26.75,"Dilution Gauging"
"10",36.1277505496058,"HighMain",2023-03-10 00:00:00,26.04,"Dilution Gauging"
"11",37.7770830751668,"HighMain",2023-03-10 00:00:00,26.04,"Dilution Gauging"
"12",33.4641558049151,"LowMain",2023-03-10 00:00:00,26.75,"Dilution Gauging"
"13",32.4898840385402,"LowMain",2023-03-10 00:00:00,26.75,"Dilution Gauging"
"14",2.039987113,"C1E",2023-02-24 10:00:00,8.67,"Continuous"
"15",3.536049584,"C1E",2023-02-24 11:00:00,8.67,"Continuous"
"16",3.843003581,"C1E",2023-02-24 12:00:00,8.67,"Continuous"
"17",4.672743313,"C1E",2023-03-03 10:00:00,8.67,"Continuous"
"18",5.986900942,"C1E",2023-03-03 11:00:00,8.67,"Continuous"
"19",5.401647217,"C1E",2023-03-03 12:00:00,8.67,"Continuous"
"20",9.039707868,"C1E",2023-03-10 10:00:00,8.67,"Continuous"
"21",12.64808104,"C1E",2023-03-10 11:00:00,8.67,"Continuous"
"22",9.166192983,"C1E",2023-03-10 12:00:00,8.67,"Continuous"
"23",10.45283492,"C2E",2023-02-24 10:00:00,7.52,"Continuous"
"24",11.23375829,"C2E",2023-02-24 11:00:00,7.52,"Continuous"
"25",11.82020989,"C2E",2023-02-24 12:00:00,7.52,"Continuous"
"26",11.34910559,"C2E",2023-03-03 10:00:00,7.52,"Continuous"
"27",11.23375829,"C2E",2023-03-03 11:00:00,7.52,"Continuous"
"28",11.23375829,"C2E",2023-03-03 12:00:00,7.52,"Continuous"
"29",14.14227898,"C2E",2023-03-10 10:00:00,7.52,"Continuous"
"30",15.28737443,"C2E",2023-03-10 11:00:00,7.52,"Continuous"
"31",15.14023227,"C2E",2023-03-10 12:00:00,7.52,"Continuous"
"32",117.0053203,"LG",2023-02-24 10:00:00,26.9,"Continuous"
"33",132.2374293,"LG",2023-02-24 11:00:00,26.9,"Continuous"
"34",158.3582587,"LG",2023-02-24 12:00:00,26.9,"Continuous"
"35",57.31440673,"LG",2023-03-03 10:00:00,26.9,"Continuous"
"36",56.83889248,"LG",2023-03-03 11:00:00,26.9,"Continuous"
"37",57.55321089,"LG",2023-03-03 12:00:00,26.9,"Continuous"
"38",71.24056618,"LG",2023-03-10 10:00:00,26.9,"Continuous"
"39",75.49579784,"LG",2023-03-10 11:00:00,26.9,"Continuous"
"40",75.49579784,"LG",2023-03-10 12:00:00,26.9,"Continuous"
