"TOA5","CR80049009","CR800","49009","CR800.Std.32.05","CPU:cond practice run.CR8","36611","Practice_cond"
"TIMESTAMP","RECORD","BattV","PTemp_C","Cond","CondNOT","Temp_C"
"TS","RN","Volts","Deg C","mS/cm","mS/cm","Deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2023-02-23 18:09:10",6248,12.53,22.08,0.135,0.1237025,20.81
"2023-02-23 18:09:12",6249,12.54,22.08,0.135,0.1237025,20.87
"2023-02-23 18:09:14",6250,12.54,22.08,0.135,0.1237025,20.78
"2023-02-23 18:09:16",6251,12.54,22.08,0.135,0.1237133,20.8
"2023-02-23 18:09:18",6252,12.54,22.08,0.135,0.123724,20.77
"2023-02-23 18:09:20",6253,12.54,22.08,0.135,0.123724,20.81
"2023-02-23 18:09:22",6254,12.53,22.08,0.135,0.123724,20.84
"2023-02-23 18:09:24",6255,12.54,22.08,0.135,0.123724,20.86
"2023-02-23 18:09:26",6256,12.53,22.08,0.135,0.1237347,20.81
"2023-02-23 18:09:28",6257,12.53,22.08,"NAN","NAN",20.84
"2023-02-23 18:09:30",6258,12.53,22.08,0.005,0.004916443,20.8
"2023-02-23 18:09:32",6259,12.53,22.08,"NAN","NAN",20.8
"2023-02-23 18:09:34",6260,12.53,22.08,"NAN","NAN",20.8
"2023-02-23 18:09:36",6261,12.53,22.08,"NAN","NAN",20.78
"2023-02-23 18:09:38",6262,12.53,22.08,"NAN","NAN",20.78
"2023-02-23 18:09:40",6263,12.53,22.08,0.134,0.1227921,20.81
"2023-02-23 18:09:42",6264,12.53,22.08,0.134,0.1230918,20.81
"2023-02-24 10:31:00",6265,12.58,16.09,0.162,0.07991943,-0.375
"2023-02-24 10:31:02",6266,12.58,16.02,0.162,0.07993952,-0.385
"2023-02-24 10:31:04",6267,12.58,16.02,0.162,0.07996979,-0.385
"2023-02-24 10:31:06",6268,12.58,15.97,0.162,0.08000998,-0.375
"2023-02-24 10:31:08",6269,12.58,15.95,0.162,0.07999994,-0.356
"2023-02-24 10:31:10",6270,12.58,15.92,0.162,0.07999994,-0.375
"2023-02-24 10:31:12",6271,12.57,15.9,0.162,0.08004024,-0.366
"2023-02-24 10:31:14",6272,12.57,15.87,0.162,0.08007049,-0.308
"2023-02-24 10:31:16",6273,12.57,15.82,0.162,0.08009061,-0.327
"2023-02-24 10:31:18",6274,12.57,15.77,0.162,0.08010066,-0.346
"2023-02-24 10:31:20",6275,12.57,15.75,0.162,0.08008055,-0.317
"2023-02-24 10:31:22",6276,12.57,15.73,0.162,0.08011072,-0.308
"2023-02-24 10:31:24",6277,12.57,15.7,0.162,0.08012086,-0.327
"2023-02-24 10:31:26",6278,12.56,15.68,0.162,0.08015104,-0.308
"2023-02-24 10:31:28",6279,12.57,15.65,0.162,0.08018129,-0.298
"2023-02-24 10:31:30",6280,12.57,15.63,0.162,0.08019134,-0.288
"2023-02-24 10:31:32",6281,12.57,15.6,0.162,0.08019134,-0.269
"2023-02-24 10:31:34",6282,12.56,15.55,0.162,0.08021146,-0.269
"2023-02-24 10:31:36",6283,12.57,15.53,0.162,0.08023166,-0.298
"2023-02-24 10:31:38",6284,12.58,15.51,0.162,0.08024172,-0.288
"2023-02-24 10:31:40",6285,12.58,15.48,0.162,0.08026191,-0.269
"2023-02-24 10:31:42",6286,12.58,15.46,0.162,0.0802921,-0.24
"2023-02-24 10:31:44",6287,12.58,15.43,0.162,0.0802921,-0.24
"2023-02-24 10:31:46",6288,12.58,15.36,0.162,0.08030215,-0.269
"2023-02-24 10:31:48",6289,12.58,15.31,0.162,0.08033242,-0.221
"2023-02-24 10:31:50",6290,12.58,15.29,0.162,0.08035253,-0.25
"2023-02-24 10:31:52",6291,12.58,15.29,0.162,0.08035253,-0.192
"2023-02-24 10:31:54",6292,12.58,15.26,0.162,0.08038279,-0.201
"2023-02-24 10:31:56",6293,12.58,15.24,0.162,0.08039285,-0.201
"2023-02-24 10:31:58",6294,12.58,15.21,0.162,0.08040292,-0.221
"2023-02-24 10:32:00",6295,12.58,15.19,0.162,0.08042312,-0.201
"2023-02-24 10:32:02",6296,12.58,15.14,0.162,0.08043318,-0.172
"2023-02-24 10:32:04",6297,12.58,15.12,0.162,0.08043318,-0.221
"2023-02-24 10:32:06",6298,12.58,15.09,0.162,0.08046346,-0.172
"2023-02-24 10:32:08",6299,12.58,15.07,0.162,0.0804735,-0.23
"2023-02-24 10:32:10",6300,12.58,15.04,0.162,0.0804735,-0.192
"2023-02-24 10:32:12",6301,12.58,15.02,0.162,0.08048357,-0.211
"2023-02-24 10:32:14",6302,12.58,15,0.162,0.08050369,-0.134
"2023-02-24 10:32:16",6303,12.58,14.97,0.162,0.08052392,-0.172
"2023-02-24 10:32:18",6304,12.58,14.95,0.162,0.08052392,-0.201
"2023-02-24 10:32:20",6305,12.58,14.92,0.162,0.08052392,-0.163
"2023-02-24 10:32:22",6306,12.58,14.9,0.162,0.08055409,-0.172
"2023-02-24 10:32:24",6307,12.58,14.88,0.162,0.08055409,-0.163
"2023-02-24 10:32:26",6308,12.58,14.85,0.162,0.08056425,-0.192
"2023-02-24 10:32:28",6309,12.58,14.83,0.162,0.08055409,-0.163
"2023-02-24 10:32:30",6310,12.58,14.8,0.162,0.08055409,-0.163
"2023-02-24 10:32:32",6311,12.58,14.8,0.162,0.08056425,-0.163
"2023-02-24 10:32:34",6312,12.58,14.75,0.162,0.08058445,-0.152
"2023-02-24 10:32:36",6313,12.58,14.75,0.162,0.08060466,-0.123
"2023-02-24 10:32:38",6314,12.58,14.71,0.162,0.08060466,-0.123
"2023-02-24 10:32:40",6315,12.58,14.68,0.162,0.08060466,-0.104
"2023-02-24 10:32:42",6316,12.58,14.66,0.162,0.0806248,-0.123
"2023-02-24 10:32:44",6317,12.58,14.64,0.162,0.0806248,-0.133
"2023-02-24 10:32:46",6318,12.58,14.61,0.162,0.08064501,-0.085
"2023-02-24 10:32:48",6319,12.58,14.59,0.162,0.08064501,-0.094
"2023-02-24 10:32:50",6320,12.57,14.59,0.162,0.08064501,-0.094
"2023-02-24 10:32:52",6321,12.57,14.56,0.162,0.08066513,-0.075
"2023-02-24 10:32:54",6322,12.57,14.54,0.162,0.08068527,-0.143
"2023-02-24 10:32:56",6323,12.57,14.52,0.162,0.08068527,-0.104
"2023-02-24 10:32:58",6324,12.57,14.49,0.162,0.08069541,-0.094
"2023-02-24 10:33:00",6325,12.57,14.49,0.162,0.08070548,-0.104
"2023-02-24 10:33:02",6326,12.57,14.47,0.162,0.08071554,-0.123
"2023-02-24 10:33:04",6327,12.56,14.44,0.162,0.08072561,-0.094
"2023-02-24 10:33:06",6328,12.56,14.42,0.162,0.08072561,-0.123
"2023-02-24 10:33:08",6329,12.56,14.4,0.162,0.08072561,-0.075
"2023-02-24 10:33:10",6330,12.56,14.4,0.162,0.08074582,-0.065
"2023-02-24 10:33:12",6331,12.56,14.37,0.162,0.08076596,-0.056
"2023-02-24 10:33:14",6332,12.56,14.35,0.162,0.08076596,-0.085
"2023-02-24 10:33:16",6333,12.56,14.32,0.162,0.08077601,-0.104
"2023-02-24 10:33:18",6334,12.56,14.3,0.162,0.08077601,-0.075
"2023-02-24 10:33:20",6335,12.56,14.23,0.162,0.08077601,-0.085
"2023-02-24 10:33:22",6336,12.56,14.21,0.162,0.08080631,-0.065
"2023-02-24 10:33:24",6337,12.56,14.21,0.162,0.08079624,-0.056
"2023-02-24 10:33:26",6338,12.56,14.16,0.162,0.08080631,-0.065
"2023-02-24 10:33:28",6339,12.56,14.16,0.162,0.08082644,-0.075
"2023-02-24 10:33:30",6340,12.56,14.13,0.162,0.0808365,-0.114
"2023-02-24 10:33:32",6341,12.56,14.11,0.162,0.0808365,-0.075
"2023-02-24 10:33:34",6342,12.56,14.09,0.162,0.08084666,-0.075
"2023-02-24 10:33:36",6343,12.56,14.06,0.162,0.08084666,-0.085
"2023-02-24 10:33:38",6344,12.56,14.04,0.162,0.08085672,-0.056
"2023-02-24 10:33:40",6345,12.56,14.01,0.162,0.08085672,-0.036
"2023-02-24 10:33:42",6346,12.56,13.99,0.162,0.08087686,-0.027
"2023-02-24 10:33:44",6347,12.56,13.97,0.162,0.08088692,-0.027
"2023-02-24 10:33:46",6348,12.56,13.94,0.162,0.08088692,-0.046
"2023-02-24 10:33:48",6349,12.56,13.92,0.162,0.08088692,-0.065
"2023-02-24 10:33:50",6350,12.56,13.9,0.162,0.08090714,-0.065
