"TOA5","CR80049009","CR800","49009","CR800.Std.32.05","CPU:cond practice run.CR8","36611","Practice_cond"
"TIMESTAMP","RECORD","BattV","PTemp_C","Cond","CondNOT","Temp_C"
"TS","RN","Volts","Deg C","mS/cm","mS/cm","Deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2023-03-03 11:32:30",10889,12.47,2.053,0.141,0.07142182,0.381
"2023-03-03 11:32:32",10890,12.47,2.053,0.141,0.07142182,0.362
"2023-03-03 11:32:34",10891,12.47,2.053,0.141,0.07146163,0.391
"2023-03-03 11:32:36",10892,12.47,2.053,0.141,0.0714517,0.381
"2023-03-03 11:32:38",10893,12.47,2.053,0.141,0.0714517,0.352
"2023-03-03 11:32:40",10894,12.47,2.053,0.141,0.07143185,0.362
"2023-03-03 11:32:42",10895,12.47,2.053,0.141,0.07146172,0.42
"2023-03-03 11:32:44",10896,12.47,2.053,0.141,0.07142191,0.352
"2023-03-03 11:32:46",10897,12.47,2.053,0.141,0.07146172,0.391
"2023-03-03 11:32:48",10898,12.47,2.076,0.139,0.07075582,0.362
"2023-03-03 11:32:50",10899,12.47,2.076,0.14,0.07101423,0.41
"2023-03-03 11:32:52",10900,12.47,2.076,0.14,0.07109371,0.391
"2023-03-03 11:32:54",10901,12.47,2.076,0.14,0.07106393,0.41
"2023-03-03 11:32:56",10902,12.47,2.076,0.14,0.07120314,0.362
"2023-03-03 11:32:58",10903,12.47,2.076,0.14,0.07119313,0.352
"2023-03-03 11:33:00",10904,12.47,2.076,0.14,0.07126279,0.391
"2023-03-03 11:33:02",10905,12.47,2.076,0.14,0.07105401,0.381
"2023-03-03 11:33:04",10906,12.47,2.076,0.141,0.07134239,0.381
"2023-03-03 11:33:06",10907,12.47,2.076,0.14,0.07132245,0.42
"2023-03-03 11:33:08",10908,12.47,2.076,0.14,0.07118321,0.391
"2023-03-03 11:33:10",10909,12.47,2.076,0.141,0.07136224,0.381
"2023-03-03 11:33:12",10910,12.47,2.076,0.14,0.07114351,0.381
"2023-03-03 11:33:14",10911,12.47,2.076,0.141,0.07137218,0.381
"2023-03-03 11:33:16",10912,12.47,2.076,0.14,0.07126279,0.371
"2023-03-03 11:33:18",10913,12.47,2.076,0.14,0.07104408,0.381
"2023-03-03 11:33:20",10914,12.47,2.053,0.14,0.07120314,0.381
"2023-03-03 11:33:22",10915,12.47,2.053,0.14,0.07126279,0.42
"2023-03-03 11:33:24",10916,12.47,2.076,0.139,0.07052727,0.362
"2023-03-03 11:33:26",10917,12.47,2.076,0.138,0.07015985,0.391
"2023-03-03 11:33:28",10918,12.47,2.076,0.139,0.0705471,0.391
"2023-03-03 11:33:30",10919,12.47,2.076,0.14,0.0708552,0.362
"2023-03-03 11:33:32",10920,12.47,2.076,0.14,0.07097445,0.4
"2023-03-03 11:33:34",10921,12.47,2.076,0.14,0.07105401,0.362
"2023-03-03 11:33:36",10922,12.47,2.053,0.14,0.07106393,0.41
"2023-03-03 11:33:38",10923,12.47,2.053,0.14,0.07110372,0.4
"2023-03-03 11:33:40",10924,12.47,2.053,0.14,0.0711335,0.362
"2023-03-03 11:33:42",10925,12.47,2.076,0.14,0.07122301,0.381
"2023-03-03 11:33:44",10926,12.47,2.076,0.14,0.07126279,0.371
"2023-03-03 11:33:46",10927,12.47,2.076,0.14,0.07130259,0.391
"2023-03-03 11:33:48",10928,12.47,2.053,0.14,0.07125287,0.381
"2023-03-03 11:33:50",10929,12.47,2.033,0.14,0.07118321,0.391
"2023-03-03 11:33:52",10930,12.47,2.033,0.14,0.07134239,0.391
"2023-03-03 11:33:54",10931,12.47,2.053,0.14,0.07122301,0.391
"2023-03-03 11:33:56",10932,12.47,2.053,0.14,0.07118321,0.371
"2023-03-03 11:33:58",10933,12.47,2.053,0.14,0.07114351,0.4
"2023-03-03 11:34:00",10934,12.47,2.053,0.141,0.07133238,0.371
"2023-03-03 11:34:02",10935,12.47,2.053,0.141,0.07132245,0.381
"2023-03-03 11:34:04",10936,12.47,2.053,0.141,0.07138211,0.381
"2023-03-03 11:34:06",10937,12.47,2.053,0.141,0.07141198,0.371
"2023-03-03 11:34:08",10938,12.47,2.053,0.141,0.07130259,0.371
"2023-03-03 11:34:10",10939,12.47,2.053,0.141,0.07146172,0.352
"2023-03-03 11:34:12",10940,12.47,2.076,0.141,0.07147165,0.381
"2023-03-03 11:34:14",10941,12.47,2.076,0.141,0.071422,0.381
"2023-03-03 11:34:16",10942,12.47,2.076,0.141,0.07150152,0.381
"2023-03-03 11:34:18",10943,12.47,2.076,0.141,0.07149159,0.391
"2023-03-03 11:34:20",10944,12.47,2.076,0.141,0.07148166,0.391
"2023-03-03 11:34:22",10945,12.47,2.076,0.141,0.07141198,0.391
"2023-03-03 11:34:24",10946,12.47,2.076,0.141,0.07146172,0.381
"2023-03-03 11:34:26",10947,12.47,2.076,0.141,0.07148166,0.42
"2023-03-03 11:34:28",10948,12.47,2.076,0.141,0.07152148,0.4
"2023-03-03 11:34:30",10949,12.47,2.096,0.141,0.07154134,0.41
"2023-03-03 11:34:32",10950,12.47,2.076,0.141,0.07155127,0.391
"2023-03-03 11:34:34",10951,12.47,2.096,0.141,0.07155127,0.352
"2023-03-03 11:34:36",10952,12.47,2.096,0.141,0.07134239,0.371
"2023-03-03 11:34:38",10953,12.47,2.096,0.141,0.07126279,0.352
"2023-03-03 11:34:40",10954,12.47,2.096,0.138,0.07020949,0.4
"2023-03-03 11:34:42",10955,12.47,2.096,0.139,0.07065646,0.371
"2023-03-03 11:34:44",10956,12.47,2.096,0.139,0.07073598,0.4
"2023-03-03 11:34:46",10957,12.47,2.096,0.139,0.07065646,0.41
"2023-03-03 11:34:48",10958,12.47,2.096,0.14,0.07096452,0.4
"2023-03-03 11:34:50",10959,12.47,2.096,0.14,0.07100429,0.371
"2023-03-03 11:34:52",10960,12.47,2.096,0.14,0.07106393,0.391
"2023-03-03 11:34:54",10961,12.47,2.096,0.14,0.07109379,0.381
"2023-03-03 11:34:56",10962,12.47,2.096,0.14,0.07097454,0.371
"2023-03-03 11:34:58",10963,12.47,2.096,0.14,0.07112365,0.41
"2023-03-03 11:35:00",10964,12.47,2.096,0.14,0.07117337,0.4
"2023-03-03 11:35:02",10965,12.47,2.096,0.14,0.0712231,0.41
"2023-03-03 11:35:04",10966,12.47,2.119,0.14,0.07121307,0.371
"2023-03-03 11:35:06",10967,12.47,2.119,0.14,0.07130259,0.381
"2023-03-03 11:35:08",10968,12.47,2.119,0.14,0.07129268,0.381
"2023-03-03 11:35:10",10969,12.47,2.119,0.141,0.07138219,0.4
"2023-03-03 11:35:12",10970,12.47,2.119,0.14,0.07128274,0.371
"2023-03-03 11:35:14",10971,12.47,2.119,0.14,0.07138219,0.41
"2023-03-03 11:35:16",10972,12.47,2.119,0.14,0.07130259,0.4
"2023-03-03 11:35:18",10973,12.47,2.119,0.14,0.07136224,0.4
"2023-03-03 11:35:20",10974,12.47,2.119,0.14,0.07139213,0.42
"2023-03-03 11:35:22",10975,12.47,2.119,0.141,0.071422,0.41
"2023-03-03 11:35:24",10976,12.47,2.119,0.14,0.07120314,0.41
"2023-03-03 11:35:26",10977,12.47,2.119,0.14,0.07131252,0.381
"2023-03-03 11:35:28",10978,12.47,2.119,0.141,0.07138219,0.381
"2023-03-03 11:35:30",10979,12.47,2.139,0.141,0.07146172,0.41
"2023-03-03 11:35:32",10980,12.47,2.119,0.141,0.07146172,0.42
"2023-03-03 11:35:34",10981,12.47,2.119,0.141,0.07151145,0.42
"2023-03-03 11:35:36",10982,12.47,2.139,0.141,0.07147174,0.362
"2023-03-03 11:35:38",10983,12.47,2.139,0.141,0.07150152,0.42
"2023-03-03 11:35:40",10984,12.47,2.139,0.141,0.07156119,0.42
"2023-03-03 11:35:42",10985,12.47,2.139,0.14,0.0712231,0.362
"2023-03-03 11:35:44",10986,12.47,2.139,0.14,0.07121307,0.381
"2023-03-03 11:35:46",10987,12.47,2.139,0.141,0.0714618,0.41
"2023-03-03 11:35:48",10988,12.47,2.139,0.141,0.07149168,0.381
"2023-03-03 11:35:50",10989,12.47,2.139,0.141,0.0714618,0.41
"2023-03-03 11:35:52",10990,12.47,2.139,0.141,0.07156128,0.391
"2023-03-03 11:35:54",10991,12.47,2.139,0.141,0.0715314,0.42
"2023-03-03 11:35:56",10992,12.47,2.139,0.141,0.07157122,0.371
"2023-03-03 11:35:58",10993,12.47,2.139,0.141,0.07147174,0.42
